seed,score,firstlayer,secondlayer,thirdlayer,epoch
0,201.7560683555397,1,1,1,300
0,263.9896046014914,1,1,1,600
0,158.49141102403365,1,1,1,900
0,158.3884569103603,1,1,1,1200
0,157.47446104353773,1,1,1,1500
0,157.60288695730824,1,1,1,1800
0,263.5670553587622,1,1,1,2100
0,156.080094150646,1,1,1,2400
0,263.131262726148,1,1,1,2700
0,156.4051475955608,1,1,1,3000
0,264.44675586155455,1,1,2,300
0,191.51219416986825,1,1,2,600
0,264.4414554202658,1,1,2,900
0,157.43763697309683,1,1,2,1200
0,264.0037529299626,1,1,2,1500
0,263.80225040945396,1,1,2,1800
0,155.26421343314732,1,1,2,2100
0,263.34904993131636,1,1,2,2400
0,157.22898543639383,1,1,2,2700
0,154.68530169393273,1,1,2,3000
0,254.48365214199475,1,1,3,300
0,176.44719084265986,1,1,3,600
0,259.86001253838475,1,1,3,900
0,154.22402676456582,1,1,3,1200
0,163.4576631972449,1,1,3,1500
0,157.41092444284573,1,1,3,1800
0,263.5670553587622,1,1,3,2100
0,155.37891912141689,1,1,3,2400
0,155.6464647202262,1,1,3,2700
0,153.91381030284714,1,1,3,3000
0,264.53147602441896,1,1,4,300
0,158.22845191415416,1,1,4,600
0,157.60478995768517,1,1,4,900
0,157.60038282366426,1,1,4,1200
0,160.65893374927933,1,1,4,1500
0,156.7992790839981,1,1,4,1800
0,263.5670553587622,1,1,4,2100
0,156.75652621199924,1,1,4,2400
0,155.38103548409234,1,1,4,2700
0,152.1627113984262,1,1,4,3000
0,234.40168220586338,1,2,1,300
0,264.660720014666,1,2,1,600
0,165.8624373076834,1,2,1,900
0,264.2529472573071,1,2,1,1200
0,153.24117483165338,1,2,1,1500
0,157.82017424071427,1,2,1,1800
0,263.5670553587622,1,2,1,2100
0,155.25225020982543,1,2,1,2400
0,157.01292895375647,1,2,1,2700
0,155.38717006032536,1,2,1,3000
0,162.56611926105586,1,2,2,300
0,165.6205975061017,1,2,2,600
0,157.2434991094358,1,2,2,900
0,158.1147772882983,1,2,2,1200
0,264.0037529299626,1,2,2,1500
0,160.33340757149853,1,2,2,1800
0,155.69283442173264,1,2,2,2100
0,156.3262454760587,1,2,2,2400
0,263.1315723738759,1,2,2,2700
0,262.9147851023404,1,2,2,3000
0,174.4396362819948,1,2,3,300
0,174.37768817522348,1,2,3,600
0,264.4414554202658,1,2,3,900
0,264.22247162085495,1,2,3,1200
0,157.5894058415771,1,2,3,1500
0,263.785284054909,1,2,3,1800
0,154.02830847070368,1,2,3,2100
0,245.14398228289653,1,2,3,2400
0,152.7090329116014,1,2,3,2700
0,262.91368654266205,1,2,3,3000
0,165.00295704533406,1,2,4,300
0,158.99590014523582,1,2,4,600
0,155.6747068082428,1,2,4,900
0,157.08364565876087,1,2,4,1200
0,156.0326205283069,1,2,4,1500
0,156.66405703992513,1,2,4,1800
0,263.5670553587622,1,2,4,2100
0,157.212994916938,1,2,4,2400
0,154.74565596087496,1,2,4,2700
0,153.30235494330944,1,2,4,3000
0,187.39563984852552,1,3,1,300
0,264.66074071253126,1,3,1,600
0,174.3930514541717,1,3,1,900
0,158.6365316582817,1,3,1,1200
0,156.3020272939029,1,3,1,1500
0,157.54083319934833,1,3,1,1800
0,156.77348050010923,1,3,1,2100
0,263.34904993131636,1,3,1,2400
0,154.98574038386388,1,3,1,2700
0,153.75913400297833,1,3,1,3000
0,264.5755977418687,1,3,2,300
0,157.09746183619495,1,3,2,600
0,264.4636059340066,1,3,2,900
0,163.55859914507883,1,3,2,1200
0,153.87175266556085,1,3,2,1500
0,155.5865642308186,1,3,2,1800
0,155.8348179386575,1,3,2,2100
0,154.94365052172355,1,3,2,2400
0,154.527764119046,1,3,2,2700
0,154.7340787172866,1,3,2,3000
0,264.3998058612702,1,3,3,300
0,184.11244651999982,1,3,3,600
0,264.4414554202658,1,3,3,900
0,156.09270019661457,1,3,3,1200
0,170.52228635968058,1,3,3,1500
0,155.31815966008136,1,3,3,1800
0,152.74979207848915,1,3,3,2100
0,155.63595912813017,1,3,3,2400
0,154.7409321622648,1,3,3,2700
0,155.21801498630757,1,3,3,3000
0,160.88549871660214,1,3,4,300
0,157.632844652317,1,3,4,600
0,177.57436267136373,1,3,4,900
0,154.84818985705093,1,3,4,1200
0,153.5871899946647,1,3,4,1500
0,156.55161691353317,1,3,4,1800
0,153.7361587750865,1,3,4,2100
0,154.24940136996213,1,3,4,2400
0,153.28120243675303,1,3,4,2700
0,154.21914853756326,1,3,4,3000
0,165.83718486802786,1,4,1,300
0,173.17575884499362,1,4,1,600
0,264.4414554202658,1,4,1,900
0,264.2228151089365,1,4,1,1200
0,157.21085680283346,1,4,1,1500
0,263.79195155996626,1,4,1,1800
0,263.56705866444133,1,4,1,2100
0,155.8847890218491,1,4,1,2400
0,263.14179858013574,1,4,1,2700
0,155.67019268209737,1,4,1,3000
0,178.18400934976756,1,4,2,300
0,173.9130714748545,1,4,2,600
0,157.0018220637229,1,4,2,900
0,160.04244770416864,1,4,2,1200
0,264.0037529299626,1,4,2,1500
0,154.76358113567778,1,4,2,1800
0,263.5670553587622,1,4,2,2100
0,263.34904993131636,1,4,2,2400
0,153.619823969417,1,4,2,2700
0,153.01214946069962,1,4,2,3000
0,185.21793759472862,1,4,3,300
0,264.660720014666,1,4,3,600
0,173.0338938195939,1,4,3,900
0,160.29519822914017,1,4,3,1200
0,264.004195732927,1,4,3,1500
0,155.803635565344,1,4,3,1800
0,155.57550314457256,1,4,3,2100
0,152.72138028563754,1,4,3,2400
0,152.7124489493576,1,4,3,2700
0,152.40271626131926,1,4,3,3000
0,160.41235019215713,1,4,4,300
0,165.12759559571916,1,4,4,600
0,156.36359139404823,1,4,4,900
0,156.20217576972533,1,4,4,1200
0,157.03779822667468,1,4,4,1500
0,154.02242756004773,1,4,4,1800
0,152.69799326871325,1,4,4,2100
0,152.33396071356313,1,4,4,2400
0,155.56466438781194,1,4,4,2700
0,262.9136688964067,1,4,4,3000
0,264.8802809611406,2,1,1,300
0,264.6608651171251,2,1,1,600
0,264.45268111389447,2,1,1,900
0,264.22337284096767,2,1,1,1200
0,264.0037529299626,2,1,1,1500
0,156.02210876599793,2,1,1,1800
0,158.7971201112377,2,1,1,2100
0,157.77723912266356,2,1,1,2400
0,154.40568315366778,2,1,1,2700
0,155.02948740434965,2,1,1,3000
0,186.99082987544304,2,1,2,300
0,177.48499388334372,2,1,2,600
0,156.71663027222442,2,1,2,900
0,157.1168918226778,2,1,2,1200
0,264.0168169302592,2,1,2,1500
0,156.3460528561611,2,1,2,1800
0,154.40898259510232,2,1,2,2100
0,154.43047179250317,2,1,2,2400
0,155.02411364463978,2,1,2,2700
0,153.53720264227215,2,1,2,3000
0,185.17344508494747,2,1,3,300
0,263.18395475710685,2,1,3,600
0,177.4038197498043,2,1,3,900
0,163.45263031308446,2,1,3,1200
0,264.0037573729644,2,1,3,1500
0,167.88315261648012,2,1,3,1800
0,154.758420399694,2,1,3,2100
0,156.8405435733189,2,1,3,2400
0,153.46021553040745,2,1,3,2700
0,153.24123231500107,2,1,3,3000
0,191.57649816571555,2,1,4,300
0,168.76527535841282,2,1,4,600
0,156.5857263371428,2,1,4,900
0,154.7149673718333,2,1,4,1200
0,155.11043697909895,2,1,4,1500
0,153.0693167698902,2,1,4,1800
0,154.83602517008472,2,1,4,2100
0,153.34358583442943,2,1,4,2400
0,153.05851952394647,2,1,4,2700
0,154.4379880220467,2,1,4,3000
0,208.78483679777824,2,2,1,300
0,182.78579502473653,2,2,1,600
0,264.4414554202658,2,2,1,900
0,264.22457027667593,2,2,1,1200
0,156.2846072231535,2,2,1,1500
0,154.99173927590127,2,2,1,1800
0,155.54202914726778,2,2,1,2100
0,152.98747681433736,2,2,1,2400
0,263.131262726148,2,2,1,2700
0,262.92738598364303,2,2,1,3000
0,175.41923715815514,2,2,2,300
0,258.0649533156797,2,2,2,600
0,264.441515336302,2,2,2,900
0,157.16166641159057,2,2,2,1200
0,156.3171220758378,2,2,2,1500
0,263.79103511641307,2,2,2,1800
0,156.99777265296217,2,2,2,2100
0,154.16903699683914,2,2,2,2400
0,152.08554244231195,2,2,2,2700
0,155.9506901056218,2,2,2,3000
0,180.48643166241996,2,2,3,300
0,162.37637793048833,2,2,3,600
0,155.9371494501442,2,2,3,900
0,155.80995106897794,2,2,3,1200
0,155.89388483820608,2,2,3,1500
0,153.96606273616837,2,2,3,1800
0,154.4504638950548,2,2,3,2100
0,154.950524566162,2,2,3,2400
0,153.92712986382966,2,2,3,2700
0,154.30742811576832,2,2,3,3000
0,166.09860432288897,2,2,4,300
0,155.45025286209997,2,2,4,600
0,159.9256447506091,2,2,4,900
0,155.56095405089462,2,2,4,1200
0,153.4877084728865,2,2,4,1500
0,154.3325316700681,2,2,4,1800
0,153.30642878447824,2,2,4,2100
0,152.20244340164965,2,2,4,2400
0,152.911446456327,2,2,4,2700
0,155.93662344010778,2,2,4,3000
0,182.3104629886386,2,3,1,300
0,159.19322689945912,2,3,1,600
0,156.37518742914168,2,3,1,900
0,155.67999949291462,2,3,1,1200
0,155.78595789683192,2,3,1,1500
0,154.4198015036489,2,3,1,1800
0,154.16058633586485,2,3,1,2100
0,155.4921227927917,2,3,1,2400
0,263.13170733625145,2,3,1,2700
0,152.6001363985738,2,3,1,3000
0,192.08521079548126,2,3,2,300
0,163.09607805513514,2,3,2,600
0,155.27525088175756,2,3,2,900
0,157.13411787774584,2,3,2,1200
0,156.46494965534853,2,3,2,1500
0,154.2190497897958,2,3,2,1800
0,155.70515670087443,2,3,2,2100
0,154.76478770566538,2,3,2,2400
0,154.21505719092798,2,3,2,2700
0,152.9379594890648,2,3,2,3000
0,166.51843380819838,2,3,3,300
0,155.9268688897545,2,3,3,600
0,155.2932398250356,2,3,3,900
0,156.38273671826528,2,3,3,1200
0,156.98376338266294,2,3,3,1500
0,154.15446570428276,2,3,3,1800
0,152.86014743126503,2,3,3,2100
0,152.5962572773168,2,3,3,2400
0,153.74697044302297,2,3,3,2700
0,152.91982898268046,2,3,3,3000
0,170.0847611614053,2,3,4,300
0,156.55602690819066,2,3,4,600
0,161.11006401477493,2,3,4,900
0,154.38522980972624,2,3,4,1200
0,155.31153231191377,2,3,4,1500
0,153.53799549250886,2,3,4,1800
0,152.09214408098168,2,3,4,2100
0,152.8553986713723,2,3,4,2400
0,153.32101174621204,2,3,4,2700
0,151.7478934832297,2,3,4,3000
0,175.0742304611217,2,4,1,300
0,264.66077309666474,2,4,1,600
0,159.37939947454095,2,4,1,900
0,264.2225291600227,2,4,1,1200
0,153.6706739409537,2,4,1,1500
0,155.0620628241904,2,4,1,1800
0,154.94044977425895,2,4,1,2100
0,153.24859833227356,2,4,1,2400
0,263.1340778565108,2,4,1,2700
0,151.77559527681302,2,4,1,3000
0,197.34165317783342,2,4,2,300
0,156.20177406084585,2,4,2,600
0,264.44529133148757,2,4,2,900
0,155.20376174326444,2,4,2,1200
0,153.41714572714153,2,4,2,1500
0,153.88410567684048,2,4,2,1800
0,153.67192000764118,2,4,2,2100
0,151.98454582504,2,4,2,2400
0,154.28110477389305,2,4,2,2700
0,152.3296949595452,2,4,2,3000
0,166.53957882902785,2,4,3,300
0,156.07620098722685,2,4,3,600
0,156.95217833535347,2,4,3,900
0,153.01148203622694,2,4,3,1200
0,153.2892930621755,2,4,3,1500
0,153.80289042265818,2,4,3,1800
0,155.40563184904835,2,4,3,2100
0,152.21534978627167,2,4,3,2400
0,153.39294974478548,2,4,3,2700
0,152.63454117699447,2,4,3,3000
0,157.77342364645887,2,4,4,300
0,155.96527662503425,2,4,4,600
0,153.83134846083894,2,4,4,900
0,155.8612900486141,2,4,4,1200
0,153.33336991250363,2,4,4,1500
0,152.2314863427048,2,4,4,1800
0,152.57984990524344,2,4,4,2100
0,151.61537870024313,2,4,4,2400
0,152.37457538126063,2,4,4,2700
0,151.85207255721338,2,4,4,3000
0,206.36039198636064,3,1,1,300
0,264.660720014666,3,1,1,600
0,264.4449072114735,3,1,1,900
0,264.2309082328113,3,1,1,1200
0,157.05160236235574,3,1,1,1500
0,263.785284054909,3,1,1,1800
0,154.80908601458077,3,1,1,2100
0,153.23900721459597,3,1,1,2400
0,152.85051250200257,3,1,1,2700
0,262.91368654266205,3,1,1,3000
0,194.55815235502305,3,1,2,300
0,171.10265022298987,3,1,2,600
0,155.73370349362014,3,1,2,900
0,155.80789733848687,3,1,2,1200
0,153.83329189549272,3,1,2,1500
0,155.32998878378416,3,1,2,1800
0,263.5670553587622,3,1,2,2100
0,153.8836556243456,3,1,2,2400
0,154.40653725083718,3,1,2,2700
0,262.91688033636956,3,1,2,3000
0,191.64847871054286,3,1,3,300
0,174.55124264159258,3,1,3,600
0,156.3640281138752,3,1,3,900
0,156.83607269999962,3,1,3,1200
0,152.40391599476544,3,1,3,1500
0,157.42575620035947,3,1,3,1800
0,263.5670553587622,3,1,3,2100
0,153.98687803514105,3,1,3,2400
0,152.25915872138654,3,1,3,2700
0,262.91368654266205,3,1,3,3000
0,170.83081138070966,3,1,4,300
0,156.16273539548595,3,1,4,600
0,156.48801182353685,3,1,4,900
0,154.63641509877988,3,1,4,1200
0,153.78524182532422,3,1,4,1500
0,154.88921694078988,3,1,4,1800
0,154.05990597978294,3,1,4,2100
0,152.98423236914633,3,1,4,2400
0,152.7493146971065,3,1,4,2700
0,152.78428341084398,3,1,4,3000
